strain	date	country	HA_clade	NA_clade	genotype	county
A/swine/France/29-120326/2012	2012-08-07	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-130398/2013	2013-10-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-150341/2015	2015-10-06	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-160215/2016	2016-06-07	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-160250/2016	2016-06-22	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-160311/2016	2016-09-01	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-160352/2016	2016-09-27	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-170114/2017	2017-04-02	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-170197/2017	2017-08-02	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-170306/2017	2017-11-21	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-180035/2018	2018-01-23	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-180202/2018	2018-04-08	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/29-190437/2019	2019-08-01	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-190487/2019	2019-06-05	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-190493/2019	2019-09-19	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-190500/2019	2019-10-07	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-190501/2019	2019-10-15	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-190539/2019	2019-10-30	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-190583/2019	2019-12-10	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-200104/2020	2020-03-19	France	1C.2.1	N1.EA	H1avN1#A	FINISTERE (29)
A/swine/France/29-200133/2020	2020-05-19	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200185/2020	2020-06-12	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
A/swine/France/29-200188/2020	2020-06-16	France	1C.2.4	N2.Gent	H1avN2#E	FINISTERE (29)
